dateTime,cpuTime,availRamMb,tcpv4TotalConn,tcpV6TotalConn,httpdSize,httpd1Size,httpd1Private,httpd1NPBytes,httpd1Handle,httpd2Size,total1911,established1911,time_wait1911,fin_wait1911,total1912,established1912,time_wait1912,fin_wait1912,total7077,established7077,time_wait7077,fin_wait7077,total7078,established7078,time_wait7078,fin_wait7078 
11/30/2023 10:52:52.509,54.047115642722773,9251,9933,0,4272128,23136813056,23839506432,7678512,66207,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0 
11/30/2023 10:53:38.980,39.68076310993721,9245,9883,0,4272128,23143690240,23846383616,8064752,66135,0,3,0,1,0,4770,2766,2002,0,1957,14,1941,0,84,76,6,0 
11/30/2023 10:54:39.113,38.955605641162691,9207,9832,0,4272128,23163789312,23866806272,7561992,66125,0,5,0,3,0,4750,2755,1993,0,1858,6,1850,0,68,62,4,0 
11/30/2023 10:55:39.803,36.636897457211049,9202,9850,0,4272128,23170654208,23873957888,7565840,66125,0,2,0,0,0,4754,2746,2006,0,1447,10,1435,0,52,46,4,0 
11/30/2023 10:56:39.622,37.912277063166556,9220,9932,0,4272128,23185199104,23889031168,7563192,66132,0,2,0,0,0,4674,2751,1921,0,1618,14,1602,0,47,44,1,0 
11/30/2023 10:57:38.837,46.149896675962331,9260,9830,0,4272128,23190315008,23894085632,7625832,66128,0,2,0,0,0,4748,2757,1989,0,1862,14,1846,0,61,57,2,0 
11/30/2023 10:58:38.863,51.174332290624605,9234,9852,0,4272128,23197003776,23900585984,7606472,66144,0,2,0,0,0,4693,2759,1932,0,1763,14,1747,0,50,46,2,0 
11/30/2023 10:59:38.563,48.317267616214487,9267,9848,0,4272128,23211487232,23915925504,7565824,66138,0,4,0,2,0,4722,2754,1965,0,1479,10,1467,0,51,46,3,0 
11/30/2023 11:00:39.540,46.720648441555333,9165,9924,0,4272128,23223623680,23928025088,8806696,66147,0,2,0,0,0,4702,2757,1943,0,1605,8,1595,0,53,50,1,0 
11/30/2023 11:01:39.963,36.217582716474283,9157,9916,0,4272128,23245918208,23950606336,7691200,66122,0,3,0,1,0,4702,2766,1934,0,1720,13,1705,0,59,52,5,0 
11/30/2023 11:02:40.023,45.644825969938317,9184,9856,0,4272128,23264198656,23969595392,8064176,66129,0,5,0,3,0,4507,2744,1761,0,1613,12,1599,0,70,64,4,0 
11/30/2023 11:03:38.774,46.773783488709839,9144,9874,0,4272128,23278698496,23984447488,7979032,66149,0,2,0,0,0,4639,2761,1876,0,1434,12,1420,0,54,43,9,0 
11/30/2023 11:04:38.673,36.157983635655469,9132,9926,0,4272128,23292801024,23998197760,7589816,66160,0,3,0,1,0,4513,2767,1744,0,1530,9,1519,0,53,50,1,0 
11/30/2023 11:05:38.570,41.648922745157222,9101,9920,0,4272128,23293071360,23998472192,7573672,66170,0,2,0,0,0,4500,2750,1748,0,1602,12,1588,0,51,48,1,0 
11/30/2023 11:06:39.384,46.563555049081984,9062,9928,0,4272128,23307350016,24013721600,8309328,66180,0,2,0,0,0,4461,2758,1701,0,1648,14,1632,0,45,40,3,0 
11/30/2023 11:07:40.490,63.693011383979538,9057,9997,0,4272128,23322882048,24029392896,7634360,66193,0,5,2,1,0,4540,2788,1750,0,1411,15,1394,0,56,52,2,0 
11/30/2023 11:08:39.875,53.120947159035701,9053,9976,0,4272128,23340679168,24047419392,7941200,66206,0,2,0,0,0,4545,2808,1734,0,1613,10,1601,0,63,54,7,0 
11/30/2023 11:09:38.807,57.800140233726907,9031,9976,0,4272128,23356952576,24063987712,8090184,66201,0,2,0,0,0,4570,2790,1778,0,1736,10,1724,0,66,61,3,0 
11/30/2023 11:10:38.951,39.013196349242776,9010,9963,0,4272128,23363833856,24071143424,8868640,66185,0,3,0,1,0,4452,2772,1678,0,1521,14,1505,0,40,36,2,0 
11/30/2023 11:11:38.421,32.523452144387186,9034,9956,0,4272128,23365599232,24072790016,7622144,66203,0,2,0,0,0,4495,2759,1734,0,1335,12,1321,0,46,40,4,0 
11/30/2023 11:12:39.717,40.148533951947527,9014,9970,0,4272128,23384911872,24092635136,8044920,66205,0,2,0,0,0,4503,2774,1727,0,1511,17,1491,0,53,50,1,0 
11/30/2023 11:13:39.267,58.249081783539417,8971,9982,0,4272128,23396454400,24104624128,7639136,66226,0,2,0,0,0,4553,2780,1771,0,1694,10,1682,0,54,47,5,0 
11/30/2023 11:14:39.093,55.11816919921764,8987,9990,0,4272128,23407534080,24115720192,8695568,66229,0,3,0,1,0,4470,2763,1705,0,1534,12,1519,0,57,52,3,0 
11/30/2023 11:15:38.613,54.802967327377331,8940,10015,0,4272128,23431278592,24140460032,7668352,66228,0,3,1,0,0,4587,2777,1808,0,1407,10,1395,0,59,56,1,0 
11/30/2023 11:16:38.672,35.582466434718121,8951,9997,0,4272128,23446052864,24154763264,7667256,66234,0,2,0,0,0,4481,2798,1681,0,1461,13,1446,0,49,42,3,1 
11/30/2023 11:17:38.464,47.706399613739322,8901,10030,0,4272128,23460294656,24169168896,7709856,66241,0,10,0,8,0,4536,2817,1717,0,1718,13,1703,0,78,74,2,0 
11/30/2023 11:18:39.063,36.062073933006708,8902,10012,0,4272128,23474860032,24184475648,8646664,66238,0,4,0,2,0,4610,2835,1773,0,1732,6,1724,0,100,94,4,0 
11/30/2023 11:19:40.355,53.71345189209562,8901,10082,0,4272128,23484887040,24194097152,7888136,66260,0,2,0,0,0,4601,2786,1813,0,1481,14,1465,0,50,44,4,0 
11/30/2023 11:20:40.666,75.027956566755478,8711,10182,0,4272128,23498334208,24207814656,8122208,66296,0,3,0,1,0,4557,2820,1733,0,1565,10,1553,0,80,74,4,0 
11/30/2023 11:21:40.330,97.811311776829754,8781,10240,0,4272128,23503982592,24213516288,8024976,66352,0,2,0,0,0,4565,2798,1765,0,1616,8,1606,0,54,48,4,0 
11/30/2023 11:22:41.602,80.797205537499678,8842,10367,0,4272128,23515336704,24225722368,8288072,66332,0,2,0,0,0,4522,2835,1685,0,1880,5,1873,0,180,176,2,0 
11/30/2023 11:23:46.659,99.572837586513117,8825,11273,0,4272128,23518846976,24228847616,8198632,67012,0,2,0,0,0,4824,3081,1739,0,1372,8,1362,0,292,288,2,0 
11/30/2023 11:24:54.177,99.571337670874982,8742,11148,0,4272128,23532707840,24243699712,8138224,66855,0,2,0,0,0,5009,3341,1662,0,1955,7,1946,0,451,449,0,0 
11/30/2023 11:25:41.348,64.444162043698043,8693,10242,0,4272128,23544016896,24254427136,7719992,66312,0,2,0,0,0,5103,2955,2145,0,1788,10,1776,0,379,376,1,0 
11/30/2023 11:26:39.327,91.169098727672008,8853,10211,0,4272128,23553036288,24263438336,7945640,66359,0,5,0,3,0,4560,2835,1723,0,1317,16,1299,0,71,64,5,0 
11/30/2023 11:27:40.183,95.963436429646748,8754,10211,0,4272128,23560613888,24271556608,8301808,66356,0,3,0,1,0,4662,2852,1808,0,1533,14,1517,0,83,74,7,0 
11/30/2023 11:28:42.316,99.833496495174529,8702,10435,0,4272128,23569952768,24281325568,8042736,66479,0,3,0,1,0,4614,2978,1634,0,2011,10,1999,0,135,132,1,0 
11/30/2023 11:29:43.451,85.498253216056867,8729,10574,0,4272128,23576334336,24287555584,8337240,66392,0,2,0,0,0,4721,3123,1591,0,1761,12,1745,1,268,260,6,0 
11/30/2023 11:30:44.767,92.361551764702639,8651,11166,0,4272128,23579205632,24290267136,8158456,66892,0,2,0,0,0,4927,2931,1994,0,1170,12,1156,0,131,128,1,0 
11/30/2023 11:31:49.201,81.668755517930137,8665,11771,0,4272128,23586643968,24298323968,8243056,67298,0,2,0,0,0,5071,3168,1898,0,2061,4,2055,0,291,289,0,0 
11/30/2023 11:32:39.689,74.699360244669478,8707,10278,0,4272128,23589101568,24300089344,8322784,66388,0,2,0,0,0,5260,3094,2163,0,2103,15,2086,0,651,648,1,0 
11/30/2023 11:33:40.976,91.659795821126238,8678,10345,0,4272128,23591391232,24302829568,8778000,66442,0,2,0,0,0,4713,2928,1783,0,1370,10,1358,0,84,78,4,0 
11/30/2023 11:34:42.725,96.724899847918522,8668,10653,0,4272128,23596601344,24308097024,8050864,66619,0,2,0,0,0,4643,2945,1696,0,1299,8,1289,0,109,104,3,0 
11/30/2023 11:35:48.224,97.862314265895748,8620,11260,0,4272128,23603953664,24315727872,8165096,66947,0,2,0,0,0,4736,2961,1772,0,2168,16,2150,0,122,119,1,0 
11/30/2023 11:36:40.005,65.575968003440693,8714,10284,0,4272128,23610699776,24322600960,7944008,66404,0,2,0,0,0,4993,2969,2020,0,1821,14,1805,0,351,348,1,0 
11/30/2023 11:37:38.786,61.751702383845753,8634,10361,0,4272128,23625338880,24337526784,7837168,66425,0,4,0,2,0,4624,2900,1722,0,1178,16,1160,0,59,54,3,0 
11/30/2023 11:38:38.886,63.125116142226787,8685,10326,0,4272128,23637393408,24349982720,7857176,66443,0,2,0,0,0,4648,2905,1741,0,1449,14,1433,0,62,56,4,0 
11/30/2023 11:39:38.635,49.500633639995741,8637,10304,0,4272128,23649857536,24362049536,7816232,66426,0,2,0,0,0,4677,2901,1774,0,2234,14,2218,0,59,52,5,0 
11/30/2023 11:40:40.312,39.546010352214324,8609,10318,0,4272128,23671468032,24384229376,8617512,66431,0,2,0,0,0,4633,2908,1723,0,1763,10,1750,0,58,56,0,0 
11/30/2023 11:41:39.878,44.943876008020453,8651,10342,0,4272128,23678480384,24391458816,8679512,66454,0,3,0,1,0,4641,2900,1739,0,1198,13,1183,0,132,128,2,0 
11/30/2023 11:42:39.381,47.52487420536,8684,10364,0,4272128,23685234688,24398438400,7884832,66476,0,4,0,2,0,4689,2903,1784,0,1539,14,1523,0,69,64,3,0 
11/30/2023 11:43:39.064,55.275450341315825,8609,10355,0,4272128,23700758528,24414089216,7876112,66470,0,3,0,1,0,4726,2927,1797,0,2085,9,2074,0,60,54,4,0 
11/30/2023 11:44:40.065,50.784117968877688,8438,10366,0,4272128,23709274112,24422621184,7900072,66478,0,2,0,0,0,4655,2889,1764,0,1824,8,1814,0,51,46,3,0 
11/30/2023 11:45:42.892,49.156358324439822,8429,10474,0,4272128,23717859328,24431919104,7868784,66526,0,3,0,1,0,4688,2893,1793,0,1286,12,1272,0,80,74,4,0 
